,vix,spx
1992-08-20,14.48,1724.199951171875
1992-08-21,15.01,1744.199951171875
1992-08-24,16.19,1689.699951171875
1992-08-25,15.62,1667.699951171875
1992-08-26,14.5,1667.800048828125
1992-08-27,13.66,1687.5999755859375
1992-08-28,13.14,1687.5
1992-08-31,13.58,1684.9000244140625
1992-09-01,13.4,1674.199951171875
1992-09-02,12.73,1711.4000244140625
1992-09-03,12.88,1780.5
1992-09-04,12.98,1779.0
1992-09-08,13.65,1763.699951171875
1992-09-09,13.36,1756.800048828125
1992-09-10,12.92,1774.199951171875
1992-09-11,12.47,1802.0
1992-09-14,13.0,1873.5999755859375
1992-09-15,13.63,1836.199951171875
1992-09-16,14.72,1859.800048828125
1992-09-17,14.31,1852.699951171875
1992-09-18,13.74,1882.9000244140625
1992-09-21,13.45,1826.0999755859375
1992-09-22,13.88,1832.800048828125
1992-09-23,13.83,1828.9000244140625
1992-09-24,13.44,1829.5
1992-09-25,14.8,1843.5
1992-09-28,15.19,1770.300048828125
1992-09-29,14.97,1731.9000244140625
1992-09-30,14.28,1736.699951171875
1992-10-01,16.31,1724.0
1992-10-02,17.79,1683.300048828125
1992-10-05,20.01,1611.0
1992-10-06,19.95,1612.5
1992-10-07,21.02,1654.199951171875
1992-10-08,19.26,1673.9000244140625
1992-10-09,20.51,1657.300048828125
1992-10-12,19.49,1655.0999755859375
1992-10-13,17.9,1685.0999755859375
1992-10-14,18.42,1667.9000244140625
1992-10-15,17.11,1650.0
1992-10-16,17.01,1664.199951171875
1992-10-19,17.31,1679.0999755859375
1992-10-20,16.87,1731.300048828125
1992-10-21,16.62,1722.199951171875
1992-10-22,15.84,1730.699951171875
1992-10-23,16.46,1766.4000244140625
1992-10-26,16.32,1770.699951171875
1992-10-27,16.24,1774.5
1992-10-28,15.95,1749.9000244140625
1992-10-29,15.47,1730.9000244140625
1992-10-30,16.15,1742.4000244140625
1992-11-03,17.33,1786.9000244140625
1992-11-04,16.28,1804.0999755859375
1992-11-05,15.38,1804.699951171875
1992-11-06,14.69,1793.5999755859375
1992-11-09,14.23,1786.699951171875
1992-11-10,14.37,1798.5
1992-11-12,14.37,1821.5
1992-11-13,14.61,1796.800048828125
1992-11-16,14.86,1772.699951171875
1992-11-17,15.01,1764.4000244140625
1992-11-18,14.55,1759.199951171875
1992-11-19,14.33,1722.300048828125
1992-11-20,13.67,1724.199951171875
1992-11-23,13.4,1674.800048828125
1992-11-24,12.66,1720.5999755859375
1992-11-25,12.5,1721.0
1992-11-27,12.58,1749.699951171875
1992-11-30,13.01,1771.4000244140625
1992-12-01,12.8,1792.300048828125
1992-12-02,12.56,1783.300048828125
1992-12-03,12.03,1799.4000244140625
1992-12-04,11.81,1781.699951171875
1992-12-07,12.0,1788.5999755859375
1992-12-08,11.73,1765.9000244140625
1992-12-09,12.58,1791.199951171875
1992-12-10,12.75,1769.5
1992-12-11,12.34,1758.699951171875
1992-12-14,12.66,1738.300048828125
1992-12-15,12.41,1744.800048828125
1992-12-16,12.58,1736.699951171875
1992-12-17,12.14,1735.199951171875
1992-12-18,11.66,1760.0999755859375
1992-12-21,11.65,1786.300048828125
1992-12-22,11.75,1824.4000244140625
1992-12-23,11.51,1821.0999755859375
1992-12-24,11.57,1854.5999755859375
1992-12-28,12.22,1857.5
1992-12-29,12.29,1870.300048828125
1992-12-30,12.6,1858.800048828125
1992-12-31,12.57,1857.800048828125
1993-01-04,13.36,1843.0999755859375
1993-01-05,13.35,1850.800048828125
1993-01-06,13.37,1859.5999755859375
1993-01-07,14.72,1844.5
1993-01-08,13.77,1852.5999755859375
1993-01-11,12.86,1814.5999755859375
1993-01-12,12.78,1796.800048828125
1993-01-13,12.42,1782.5
1993-01-14,11.99,1803.5
1993-01-15,11.57,1827.0999755859375
1993-01-18,11.49,1837.5
1993-01-19,12.06,1837.699951171875
1993-01-20,12.15,1818.800048828125
1993-01-21,11.69,1812.199951171875
1993-01-22,11.3,1820.4000244140625
1993-01-25,11.38,1779.9000244140625
1993-01-26,11.45,1792.5999755859375
1993-01-27,12.01,1777.4000244140625
1993-01-28,12.04,1780.5999755859375
1993-01-29,12.42,1772.199951171875
1993-02-01,12.33,1785.9000244140625
